id,prop
1616,2.525234524
1802,2.824752335
1803,2.788360582
1804,2.681032276
1805,2.624463567
1883,3.072205952
1897,2.797705963
1898,2.540141119
2133,2.508497418
2477,2.962693545
2577,2.910576306
2629,2.578269933
2761,2.549447847
3009,2.587482684
3167,2.833694208
3580,2.92463517
3653,3.032935743
3682,2.464629904
3683,2.506012031
3686,1.847253585
3742,2.981210018
4109,1.603249787
4110,2.247996269
4111,1.756132916
4138,2.75423438
4149,2.807439632
4151,2.819815521
4360,2.814289955
4566,2.782100504
4656,2.284719878
4778,2.33015874
4794,3.059078539
4828,2.887316449
4837,3.066662682
5117,2.902528589
5151,2.457262295
5166,3.234600319
5177,2.671834701
5178,2.697054695
5179,2.631618792
5181,2.963560632
5182,2.973982683
5342,3.040049215
5426,3.195769834
5427,2.728517888
5625,2.505111401
5626,2.874537592
5627,2.95642287
5646,3.093851486
5664,2.821260698
5674,2.862543016
5686,2.979083407
5690,2.780739029
5695,2.049183731
5699,3.150916544
5700,3.0198299
5709,2.279393043
5783,2.467879229
5981,2.660357471
5995,2.581613818
6118,2.037138644
6137,3.070968077
6141,3.096763245
6517,2.012440727
6570,2.801971346
6599,2.722248749
6770,2.55402071
6874,2.543620057
6875,2.412630116
6876,2.191239575
6913,3.08801642
6974,2.445525762
7497,2.697875504
7551,2.636621097
7598,2.546435816
7599,2.825627396
7649,2.401501424
7763,2.547207734
7918,2.915740476
8057,2.938248965
8080,2.914337589
8089,2.575377198
8113,2.874341836
8173,2.270527054
8223,2.808316628
8226,2.809187491
8235,2.879874571
8353,2.152326573
8354,2.446018021
8355,1.410552128
9964,3.17520136
10010,2.88591342
10011,3.044762503
10074,2.910865551
10081,2.276478808
10095,2.668979674
10411,2.796020863
10466,2.813452863
10480,2.65312443
10505,2.817110597
10545,2.984793306
10576,2.858731143
10711,1.438649898
10712,1.740860963
10879,2.607758691
10890,2.760472434
10906,2.836781274
10963,2.271758847
11155,2.553853601
11321,1.477702279
11368,2.912582617
11414,2.797415344
11419,2.9487338
11506,1.369028322
11507,2.510076877
11508,2.00382083
11509,1.898071785
11510,1.670201004
11511,2.070105064
11512,2.279536755
11516,2.841130578
11589,2.918939296
11669,2.984843447
11716,2.850755567
12030,2.793427157
12263,2.959874225
12266,2.316555792
12268,2.574120762
12376,2.639867541
12475,2.958508915
12625,2.099879292
12790,2.142480396
12890,2.670875643
12897,2.922716274
13114,2.005114581
13666,2.894888657
13677,2.618450497
13828,2.859005445
13835,2.875186193
13837,2.883655883
13906,2.897283541
13935,2.801706132
13961,2.744074114
14029,2.677579738
14032,2.416240435
14220,2.664961667
14248,2.674776967
14849,3.098712472
15032,2.679617556
15208,2.837580404
15579,2.719898802
16166,2.669483976
16454,2.967189215
16458,2.835522431
16527,2.792006973
16575,3.110777676
17224,2.817206908
17353,2.234444145
17363,2.555815666
17365,2.694422445
17380,2.613055957
17387,2.643380051
17389,2.654673139
17502,2.67991195
17518,2.601685158
17544,2.537192467
17596,2.385599089
17610,1.733265064
17638,2.496863026
17646,2.617143662
17700,2.823697305
17718,2.768902876
17747,2.69318293
17752,2.707994333
17904,2.819344316
17906,2.745519735
17907,2.786043381
18050,2.752598028
18054,2.786905662
18066,2.711328701
18074,2.756248077
18081,2.786178178
18089,2.667426121
18090,2.825427545
18097,2.872656839
18101,2.752523915
18146,2.715346297
18193,2.817207757
18227,2.857240196
18299,2.769626671
18443,2.788531983
18705,2.839686423
18716,2.746112008
18724,2.914658635
18866,2.443789179
19373,2.851033783
19409,2.833091814
19550,2.73339147
19551,2.631347628
20395,2.873448027
20396,2.984830659
20905,2.680046479
20929,2.926554878
21080,2.913813852
21316,2.81576704
21386,2.603935586
21593,3.007389578
21805,2.751371376
21918,2.741804287
22016,2.550849958
22045,3.065559851
22302,2.927594122
22373,2.811723224
22473,2.881064185
22507,2.903593024
22530,2.235094472
22862,2.682116093
23004,2.652770375
23364,3.048221553
23366,2.565375503
23958,2.99483438
24112,2.915862537
24194,2.055367764
24307,2.66824177
24502,2.990730613
24717,2.568410018
24739,2.352890629
24824,2.643822208
24982,2.819847852
25234,2.79510823
25525,2.8090514
25699,2.937478711
25867,1.814342742
26117,2.901045679
26328,2.697780832
26330,2.908100019
26331,2.820036624
26333,2.459163691
27098,3.030390495
28055,2.680115568
28071,2.682749708
28662,2.130043929
29468,2.811587805
29521,2.818715495
29553,2.726787916
29601,2.857000516
30173,2.808480069
30255,2.742476495
30316,2.618665665
30639,2.851828486
31240,2.830487097
31809,3.087549955
40051,2.944687293
41661,2.618080461
42219,2.957280255
47016,2.99946822
52046,1.799088476
52059,2.149172442
52061,1.438711638
53881,1.405942982
54708,2.903113087
54942,2.806188527
55028,2.235890774
56154,2.611971461
56986,2.386930422
57018,1.704764383
57019,1.891169053
57020,2.412838396
57108,2.024606258
88346,2.826964519
90117,1.738729099
90147,2.506093556
90586,2.812526664
91935,2.111366341
94380,2.935934541
94482,2.23042581
94574,2.859967466
94600,1.423085435
110794,2.930768621
110795,2.909580109
116234,2.769792226
290599,2.795604083
304415,2.619674215
304443,2.500259219
304462,2.811323461
304520,2.857547501
304528,2.856550841
304549,2.646386339
304613,1.434888121
304642,2.913757424
304702,2.834557767
304725,1.690128562
304752,2.792678211
304756,2.740913188
304811,2.453807928
304819,2.86224739
304873,2.578238305
305079,2.227858425
305241,2.7530938
305266,1.906613019
305306,2.821024816
305364,2.867449341
305405,2.052221393
305420,2.105619916
305519,2.595093536
305530,2.51481053
305558,2.846750306
305605,1.999506151
305672,2.344196907
305712,2.767161712
305799,2.835536608
305812,2.74536482
305820,2.120203203
305856,2.808646889
305874,2.821856032
305927,2.326840064
305982,2.867152556
306083,2.688166712
306172,2.607528082
306201,2.893528548
306229,2.660343757
306273,2.781532468
306355,2.823659982
306369,2.567629707
306376,2.413394944
306419,2.763118469
306444,2.320634739
306479,2.694953263
306487,2.576837236
306582,2.684651535
306589,2.812688767
306773,2.816492017
306791,2.819850809
306795,2.790824744
306860,2.913702043
306990,2.732269196
307047,2.020446686
307082,2.811415503
307141,2.671796238
307171,2.576894648
307180,1.728583387
307201,2.321030112
307213,2.718753443
307282,2.649749659
307308,2.711692459
307320,2.606451739
307508,2.391054811
307592,2.608105313
307599,2.749285799
307693,1.81605969
307760,1.431583049
307825,1.774125768
307843,2.772211485
307885,2.81007406
308281,2.572908673
308435,2.809559715
308522,2.813771873
309074,2.721550614
309075,2.835854399
309490,2.677191804
309610,2.781418448
309647,2.593240575
309867,2.629818453
309897,2.816895279
310099,2.685828133
310105,2.639696724
310307,2.539005544
310367,2.584419872
310531,2.705346512
310680,2.846883047
310773,2.656114827
311058,2.885262993
311060,2.675617936
311138,2.531038183
311317,2.736438579
311594,2.713278592
311999,2.751991909
312488,2.710307395
312595,2.640032344
313070,2.603463592
313151,2.558202685
313311,2.831940956
313331,2.758952275
314289,2.85212704
314320,2.84249007
314518,2.663664896
325782,2.821171072
325865,2.865974809
326081,2.905671924
326837,2.504659763
326993,2.278134297
327509,2.542533969
327854,3.079277419
328526,2.818205764
328926,2.643750979
336091,2.651429415
337815,2.813962907
337986,2.248921371
338021,2.69373661
338532,2.725154655
343143,2.736795398
343615,2.693475351
343649,2.606133692
343674,2.66343039
343698,2.699989239
344016,2.600009759
344191,2.662340015
344483,2.657029156
344625,2.732238665
344817,2.840792915
344826,2.661944489
344895,2.674418161
344948,2.756340924
345077,2.791763887
345127,2.791534708
345335,2.703057852
345395,2.528204706
345798,2.427340387
345981,2.543033871
346166,2.601803351
346288,2.691650582
346297,2.705842
346693,2.600466226
346903,2.670229674
347004,2.523746467
347186,2.792438104
347327,2.810791794
347500,2.606608573
347516,2.695559469
347523,2.834568072
347782,2.545619663
348030,2.827314714
348071,2.677555175
348106,2.808420344
348123,2.204679586
348615,2.465815866
348923,2.677469137
